Palm_Position_X,Palm_Position_Y,Palm_Position_Z
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
8.688093,154.39468,48.38722,1.1920929E-7,1.1920929E-7,1.1920929E-7
9.279293,151.94278,48.26134,32.67559,-135.517,-6.957184
9.747054,148.1516,46.45864,29.507437,-171.10333,-51.10991
10.023611,145.93939,43.82861,22.70328,-147.62582,-95.80044
10.380506,140.65266,39.815674,21.31263,-216.59045,-155.86507
9.998364,139.14383,36.79251,1.1512156,-153.57254,-161.48746
9.461817,137.57475,34.948406,-13.520675,-122.187805,-133.59734
8.645167,137.14355,33.550182,-28.542906,-75.37188,-106.75919
7.675115,137.57515,32.635258,-40.40197,-28.106466,-79.880264
6.5613484,138.29587,31.81605,-50.608757,4.172953,-63.64718
5.3902235,138.70428,31.184101,-57.26091,12.911882,-49.928276
4.281479,138.61519,30.490324,-59.06023,4.415817,-44.331
2.9453948,138.41985,29.759394,-66.05579,-2.8180373,-42.437233
1.683181,138.16231,28.86207,-67.938484,-8.257462,-45.920517
0.2691725,137.71097,28.085678,-72.715195,-16.178108,-44.438656
-0.87916255,137.41496,27.622026,-68.241,-16.24654,-35.45
-2.063846,137.13527,27.248446,-67.04224,-15.899636,-28.464714
-3.2330043,136.44359,26.687641,-65.87968,-26.513952,-29.663597
-4.160703,135.6983,26.296795,-59.12934,-33.59053,-25.916653
-5.0362883,134.77945,25.880667,-54.04645,-41.782074,-24.539324
-6.0334544,133.85732,25.147272,-54.683964,-46.25559,-32.21514
-6.7719893,133.01978,24.531763,-48.066956,-46.250633,-33.05749
-7.1685333,132.41661,23.932165,-35.63234,-40.10972,-33.096603
-7.055401,131.93597,23.140781,-15.749546,-33.721542,-38.209904
-5.9804454,131.60355,21.42718,19.985264,-26.39462,-65.02374
-1.8438953,131.61142,18.29134,119.43725,-13.692813,-116.80762
6.4385242,134.02019,12.882101,279.67477,56.03956,-202.92532
16.646961,139.5746,3.92951,414.78937,175.30304,-341.56888
32.956,146.1225,-5.318477,647.581,264.61182,-423.18665
54.355034,154.9681,-14.757435,901.39496,370.9933,-469.65894
79.99546,164.42625,-23.13727,1151.1223,444.92667,-468.56232
107.94413,175.17314,-29.785494,1330.7662,512.9033,-417.86905
138.04935,184.3922,-34.921143,1490.9087,511.9219,-354.59894
166.83531,193.42038,-37.470016,1538.5833,505.798,-252.98677
191.51828,203.2646,-40.99893,1459.7888,525.4353,-226.08698
224.51352,209.72148,-54.884747,1060.2959,273.2222,-339.77875
245.22058,207.43317,-58.268024,711.3304,29.924194,-162.52191
251.85997,211.67322,-55.89215,545.7635,126.86658,-22.568659
267.38193,212.38524,-60.982147,693.7026,85.17569,-145.5358
282.45883,216.33006,-55.58986,759.9867,148.3333,65.38799
289.8209,219.63196,-48.52413,593.28546,164.8652,220.28209
291.63986,220.44778,-46.778366,358.87027,107.88,161.37315
288.8014,226.06435,-47.637383,113.8944,204.40796,62.192493
289.613,223.08882,-39.86972,80.99069,28.92848,236.62836
290.42932,218.9717,-37.17475,64.1819,-93.19044,195.68277
287.56714,224.01622,-33.170853,-41.560154,83.663124,207.32375
287.99356,229.7578,-27.406652,-10.591022,194.78194,260.23712
287.7416,230.07901,-26.293106,-12.152918,110.308235,165.34154
284.68484,226.57648,-25.275076,-86.6954,-34.202248,113.4399
283.50143,226.03345,-19.6219,-76.97431,-32.37492,208.92265
283.20078,225.29585,-19.068462,-48.632538,-36.57442,125.07042
281.03317,224.33911,-19.094738,-81.81472,-43.933754,64.06294
279.31403,222.46678,-21.96787,-88.58755,-72.60327,-41.910606
277.39996,222.07047,-24.349003,-96.39447,-48.264412,-84.29131
276.48825,221.07547,-24.232082,-74.751,-51.604187,-41.299236
262.3124,224.69775,-22.616745,-411.403,68.10574,20.797354
256.2073,223.34906,-19.410843,-377.20267,0.34259665,95.32863
242.13857,218.4736,-11.898702,-568.8437,-128.1524,247.90794
226.37912,223.1889,-0.9195543,-711.34625,56.740158,417.93704
209.12885,221.80925,8.369793,-826.0048,-6.5105233,463.08386
203.78972,221.10594,13.041896,-573.5855,-21.899498,365.69333
166.9884,225.63683,39.03105,-898.1574,84.95042,623.3736
142.00426,218.17992,42.198654,-1122.9095,-151.15364,407.9227
124.248505,208.6141,49.77878,-1061.9662,-332.21106,415.586
93.0419,199.9034,72.993904,-916.3717,-265.61383,578.87976
77.12262,188.99448,78.73592,-897.5584,-425.43317,453.71832
65.096565,170.35597,87.06751,-789.0738,-714.6092,458.17236
